###########Existing Great Works###########
wonder_kronborg_castle;Kronborg;;;;;;;;;;;;;x
wonder_kronborg_castle_desc;This Great Fortress at the narrowest point Øresund, forever immortalized as the Castle "Elsinore", has stood centuries from its legendary builder Erik VII who forged this castle from the sea as a great bulwark against the forces of Europe from the Great North. A symbol of Scandanavia's continued resilience, it has become the jewel of the Northern People of Europe.;;;;;;;;;;;;;x
wonder_oxford_library;The Bod Archives;;;;;;;;;;;;;x
wonder_oxford_library_desc;Located in the hallowed ruins of a great Manor of Learning, "The Bod Archives" was believed to have been founded by the ancient order of Bodley who gathered all the wordly knowledge in great codices which were once world renowned, now only the few with the eclectic understanding to decipher the worn scribbles are said to fully grasp its hidden truths. "Do fidem me nullum librum vel" continues its haunting melody among the weary locals who cast their eyes upon its warded door.;;;;;;;;;;;;;x
wonder_walhalla;Walhalla;;;;;;;;;;;;;x
wonder_walhalla_desc;In this hall above the Danube, the faces and names of many ancient Germans are enshrined here, as well as, noteworthy and pious rulers from after the Event have found their final resting place in these hallowed halls.;;;;;;;;;;;;;x
wonder_orszaghaz;Országház;;;;;;;;;;;;;x
wonder_orszaghaz_desc;This magnificient palace, towering nearly a hundred meters above the Danube, was once the place where the lords and ladies of Hungary were said to assemble to discuss matters of utmost importance. Built in Gothic Revival style, this building bolsters a symmetrical façade and a huge dome, under which the royal regalia has been preserved for many generations of Hungarians. The splendors of old Hungary were said to be so great that many peoples and material went to the heart of Budapest to make this gleaming palace one of the most iconic buildings of Europe. Made into ruins and abandoned after the Event, it was through the efforts of the Visegrad Emperors that this ancient palace have risen from the ashes recapturing its former splendor and glory.;;;;;;;;;;;;;x
wonder_palatul_parlamentului;Palatul Parlamentului;;;;;;;;;;;;;x
wonder_palatul_parlamentului_desc;The grand and imposing home to the old Emperors of Romania dwarfs all of other cities around it. This enormous fortress, said to be built in 13 years by countless laborers, was in its glory days, home to the pre-event Romanian Emperors and many of the nobles of the majestic Parliament who stood as council to their liege. But one begins to wonder if any of that was true for it would mean there was maybe tens of thousands of people who occupy its seemingly endless amount of rooms. After the unification of Romania once more after the Event, the Emperors of Romania and later the Kings of Wallachia have made this great palace their own. Traveling through its beautiful and haunted halls it is said to be the most impenetrable fortification ever constructed in not only Bucharest but perhaps the entire world?;;;;;;;;;;;;;x
wonder_al_azhar;Al-Azhar;;;;;;;;;;;;;x
wonder_al_azhar_desc;The Al-Azhar is a grand district that sits in the beating heart of science and faith in Old Cairo. The entire complex was said to have been built by al-Mu'izz li-Din Allah the 4th caliph and imam of the Fatimid Caliphate as Cairo gained prominence within the Arab World and for most of the Pre-Event period. Cairo itself continued to remain an important center of Islamic Sciences and Faith as the faithful custodians of the Majlisi continued studiously allow the blossoming of science and faith despite the turmoil that rocked the world.;;;;;;;;;;;;;x
wonder_ranganathaswamy;Ranganataswamy Temple;;;;;;;;;;;;;x
wonder_ranganathaswamy_desc;Sri Ranganathaswamy stands proudly above the skyline of Tiruchirappalli, one of many sacred sites within Tamil Nadu, but foremost among the Divya Desam that revere Lord Vishnu, known locally by his Tamil name Ranganatha. A pride of the Tamil People of Southern India the temple towering height is covered in devotional art of the life of Ranganatha like his emergence from Brahman's sacred austere of Samudra Manthana. Built by Dharmavarma first among the Kings of Chola its persistence despite the turmoil of the Event is seen as a divine favor from Lord Vishnu blessing eternal life for the people of Tamil Nadu and grand festivals continue to liven the streets to this day.;;;;;;;;;;;;;x
wonder_motherland_calls;The Motherland Calls;;;;;;;;;;;;;x
wonder_motherland_calls_desc;This immense statue of the Motherland stands in the Russian plains, representing the people's will to defend their home against all invaders. Raised in the aftermath of a great horde that sought to kill up to the Urals, the statue is respected by all people of the land, but is of special importance to the followers of the Proletcult. A special sisterhood has maintained the statue for centuries and in times of war defend the Motherland with their lives and deadly accuracy.;;;;;;;;;;;;;x
wonder_colosseum;Colosseum;;;;;;;;;;;;;x
wonder_colosseum_desc;The great Amphiteatre built by the emperors of Rome in an age far before the Event. A lonely survivor of two, great societal collapses, it has, for centuries, provided wonder, smiles and marvel to those who have laid their eyes upon it.;;;;;;;;;;;;;x
wonder_biblioteca_marciana;Biblioteca Marciana;;;;;;;;;;;;;x
wonder_biblioteca_marciana_desc;The ancient Library of the Doges of Venice. In its dusty halls, shadows and whispers of the antediluvian world lurk among books from days long before the Event. There's no telling what knowledge might be hidden here.;;;;;;;;;;;;;x
wonder_fatih;Fatih District;;;;;;;;;;;;;x
wonder_fatih_desc;The Fatih district, part of the old city of Istanbul, contains a spiraling monument of a bygone era, the grand temple of Ayasofya, the history of which stretches to the fogs of the great Padishahs of old. Beyond its grand display of faith, the site has since become the beating heart of scholarship and theological studies of the Old Continent. New tales may yet rise from the storied streets of the City of the World's Desire.;;;;;;;;;;;;;x
wonder_mausoleum_of_genghis_khan;Mausoleum of Genghis Khan;;;;;;;;;;;;;x
wonder_mausoleum_of_genghis_khan_desc;This ancient mausoleum while never containing the hallowed remains of the Great Khan nevertheless serves as an important pilgrimage site to the peoples of the Eurasian Steppe that see this great antedilluvian progeniture and leader as a god to make sacrifices and worship to.;;;;;;;;;;;;;x
wonder_shapurs_castle;Falak-ol-Aflak;;;;;;;;;;;;;x
wonder_shapurs_castle_desc;"O Great Lord Shapur of the palace have stretched your hands to graze the very heavens and show your great might upon man", This magnificent palace that has stood for millenia have had many names and many ancient figures and nations have laid claim to its hallowed halls and its surrounding city of Khorramabad, but it care not as it serves a pillar to the people of Lorestan for millenia to come.;;;;;;;;;;;;;x
wonder_potala_palace;Potala Palace;;;;;;;;;;;;;x
wonder_potala_palace_desc;This magnificent fortress stands proudly above Lhasa as the long lasting symbol of the Tibetan People. Named after the mythical peaks that was home to the Buddha of Compassion, Avalokitesvara, one of the three guardians watching the high peaks of the himalayas. It is said that first emperor of the Ancient Tibetan Empire, Songtsen Gampo, built this great complex while meditating in a cave recessed just beyond where the palace now stands embuing the land with great spiritual and cultural power.;;;;;;;;;;;;;x
wonder_konark_sun_temple;Konark Sun Temple;;;;;;;;;;;;;x
wonder_konark_sun_temple_desc;The beautiful structure was built by Narsimhadeva to honor the Hindu Sun God Surya, to this day it is still one of his most holy sites in all of India. Many temples dedicated to Surya and his emanations are maintained by the peoples of Odisha and beyond for the glory of the ruler of planets.;;;;;;;;;;;;;x
wonder_lalibela_churches;Rock-Hewn Churches;;;;;;;;;;;;;x
wonder_lalibela_churches_desc;The Eleven Rock-Hewn Churches of Lalibela were said to have been built by Gebre Meskel of the Zagwe Dynasty to house the Ark of the Covenant and as a lasting devotional to Christianity in Ethiopia. Its fame is well regarded by Christendom as a whole and is considered a great pride for the proud lions who sit upon the throne of Ethiopia.;;;;;;;;;;;;;x
wonder_blackbeard;House of Blackheads;;;;;;;;;;;;;x
wonder_blackbeard_desc;This structure, originally created in 1334, served as the guild hall for the Brotherhood of Blackheads and did so for centuries, having many events and works done upon it, such as the first ever decorated Christmas tree in 1510, and underwent a makeover in the 17th century, and a reconstruction in the 20th century. In its current form, it is an Imperial Hall, used to greet diplomats and royals, celebrate momentous occasions or even let the citizenry petition the Emperor.;;;;;;;;;;;;;x
wonder_golden_temple;The Golden Temple;;;;;;;;;;;;;x
wonder_golden_temple_desc;The Golden Temple, also known as Harimandir Sahib, is a gurdwara overlaid with golden leaf and the preeminent spiritual site of Sikhism. The shrine has been rebuilt repeatedly by Sikhs, and the sanctum and the pool are constantly filled with Sikh pilgrims. The four entrances to the Golden Temple symbolize the Sikh belief in equality and the Sikh view that all people are welcome into their holy place.;;;;;;;;;;;;;x
wonder_malbork;Malbork Castle;;;;;;;;;;;;;x
wonder_malbork_desc;This Teutonic fortress, built upon the Nogat river long ago, actively provides an undisputed watch on the Vistula via its strong position, and defensibility. Having served many a master in its time from Teuton to Bohemian, then to the Polish and Rzeczpospolita as a royal residence. It is regarded by many as an impenetrable castle, unable to be sieged, only seized when someone concedes it.;;;;;;;;;;;;;x
wonder_taj_mahal;Taj Mahal;;;;;;;;;;;;;x
wonder_taj_mahal_desc;The proud ivory white mausoleum stands asture above the reflective pool, according to the histories it was built for Shah Jahan of the Mughal Empire for the love his life Mumtaz Mahal for which this splendid structure gets its name Taj Mahal. An exceptional blending of Islamic and Indian architecture, a monument to love so strong that its stone edifice has long out lived its creators and perhaps will stand for millenia more.;;;;;;;;;;;;;x
wonder_charminar;Charminar;;;;;;;;;;;;;x
wonder_charminar_desc;"Fill this city of mine with people as, You filled the river with fishes O Lord." so goes the ancient proverb regarding the imposing minarets at the center of Hyderabad. Home to many festivals both of religious and cultural significance to Telangana and the Deccan more generally, its ornate construction also houses a sprawling bazaar within its shadow.;;;;;;;;;;;;;x
wonder_hampi;Hampi Hill Temples;;;;;;;;;;;;;x
wonder_hampi_desc;Known by many names the Hampi Hill Temple Complex was initially dedicated to Pampa, a local variant of the Mother Goddess Parvati and thus is a great pilgrimage site to Hindus across the Subcontinent. Comprising the complex is the Virupaksha temple and its vast markets, a temple to Krisna with a fearsome Yoga-Narasimha, markings of other great indian figures such as The Buddha and many others decorate other temples across the Hills of Hampi.;;;;;;;;;;;;;x
wonder_dwarkadhish;Dwarkadhish;;;;;;;;;;;;;x
wonder_dwarkadhish_desc;Dwarkadhish Temple the abode of the "King of Dwarka" an avatar of Lord Krishna said to have been built on the site where Lord Krishna dredge land from the seas off the Kutch Coast according to the Puranic Traditions at the behest of his wife Rukmini. One of the four Char Dham for Hindus across the Subcontinent, and the spiritual center of the Ancient Dwarka Kingdom which is a point of pride to the compassionate believers among the Gujarati.;;;;;;;;;;;;;x
wonder_kutubiyya;Kutubiyya;;;;;;;;;;;;;x
wonder_kutubiyya_desc;The minarets of the Kutubiyya tower over the markets of Jemaa el-Fnaa where the ancient tradition of bookselling which gave the mosque its name. An intertwining of scholarship and faith the Mosque has seen the rising tides of Marrakesh's preeminence in Moroccan politics from even before The Event. One of the prize relics that endear from those dark days is the Minbar which was taken from the mosque grounds but with the rising fortunes of Marrakesh has return to its proper home.;;;;;;;;;;;;;x
wonder_borj_el_kebir;Borj el-Kebir;;;;;;;;;;;;;x
wonder_borj_el_kebir_desc;Borj el-Kebir, the most infamous port of all the Mediterranean and home of the Jirba Corsairs on the fortress island of Djerba. This port is also home to the only significant production of a mysterious dye that is also sought after by more "reputable" buisnesses from across the Mediterranean.;;;;;;;;;;;;;x
wonder_sagrada_familia;Sagrada Familia;;;;;;;;;;;;;x
wonder_sagrada_familia_desc;Built in the characteristic Barcelona style, it is said that this basilica has been under construction for thousands of years. It is constantly surrounded by wooden cranes, but no lord has ever managed to finish it. The locals claim that when completed it will be the most beautiful church in all of Christendom.;;;;;;;;;;;;;x
wonder_seville_cathedral;Catedral de Sevilla;;;;;;;;;;;;;x
wonder_seville_cathedral_desc;The great temple of the penitents, this renovated cathedral is the joy and wonder of Andalusia. Once the biggest church in all of Christendom, now serves as the holiest site of the Penitente faith.;;;;;;;;;;;;;x
wonder_tower_of_belem;Torre de Belém;;;;;;;;;;;;;x
wonder_tower_of_belem_desc;The Tower of Belém....;;;;;;;;;;;;;x

#Upgrades
upgrade_ayasofya;Ayasofya;;;;;;;;;;;;;x
upgrade_ayasofya_desc;More than two millenia old, this magnificent place of worship has seen dynasties, kingdoms and empires come and go over the centuries.;;;;;;;;;;;;;x
upgrade_blue_mosque;Blue Mosque;;;;;;;;;;;;;x
upgrade_blue_mosque_desc;Sitting next to the Ayasofya, this mosque is adorned with hand-painted blue tiles and is bathed in shades of azure at night.;;;;;;;;;;;;;x
upgrade_galata_tower;Galata Tower;;;;;;;;;;;;;x
upgrade_galata_tower_desc;This ancient watchtower, over 200 feet tall, stands guard ever-faithfully over the Golden Horn.;;;;;;;;;;;;;x
upgrade_topkapi_palace;Topkapi Palace;;;;;;;;;;;;;x
upgrade_topkapi_palace_desc;The palace of the cannon-gate, named for some piece of infernal machinery of the world-that-was, was the main residence for the Sultan Han of the Devlet-i Aliyye.;;;;;;;;;;;;;x
upgrade_sultanahmet_garden;Sultanahmet Square;;;;;;;;;;;;;x
upgrade_sultanahmet_garden_desc;Also known as the Hippodrome of Konstantiniyye, this square was the site where many a revolt against the rulers of the Old World was launched.;;;;;;;;;;;;;x
upgrade_istanbul_university;Istanbul University;;;;;;;;;;;;;x
upgrade_istanbul_university_desc;Teaching students from all over Turkey, the Levant and beyond, the University of Istanbul is one of the main centres of learning around the Mediterranean.;;;;;;;;;;;;;x
upgrade_genghis_khan_statue;Statue of the Great Khan;;;;;;;;;;;;;x
upgrade_genghis_khan_statue_desc;An antediluvian statue of Genghis Khan proudly adorns the center of the temple.;;;;;;;;;;;;;x
