###########Trait Localization###########
#Cao Dai Traits
saint_faith;Séance of Faith;;;;;;;;;;;;;x
saint_faith_desc;Visited by Faithful Saints in service to [cao_dai.GetName].;;;;;;;;;;;;;x
saint_wisdom;Séance of Wisdom;;;;;;;;;;;;;x
saint_wisdom_desc;Visited by Wise Saints in service to [cao_dai.GetName].;;;;;;;;;;;;;x
saint_power;Séance of Power;;;;;;;;;;;;;x
saint_power_desc;Visited by Powerful Saints in service to [cao_dai.GetName].;;;;;;;;;;;;;x
saint_balance;Séance of Balance;;;;;;;;;;;;;x
saint_balance_desc;Visited by Balanced Saints in service to [cao_dai.GetName].;;;;;;;;;;;;;x

#Hui Schools and Sufi Orders
khufiy;Khufiyya;;;;;;;;;;;;;x
khufiy_desc;One of the menhuans found in the Middle Kingdom and the eldest among those found among the Hui. Pioneered by Ma Shouzhen and expounded by others this school is characterized by its intertwining of Confucian and Islamic teachings known as Yiru Quanjing. Known as the "Silent Ones" to the wider Naqshbandi Tariqa they prize silent dhikr and the veneration of saints and ancestors, evident by the smell of incense flowing from their temples.;;;;;;;;;;;;;x
jahriy;Jahriyya;;;;;;;;;;;;;x
jahriy_desc;One of the menhuans found in the Middle Kingdom, considered a reformist movement started by Ma Mingxin which counter what they view as the pollution of the purity of teaching in the other Menhuans. Distinguishing themselves from the Khufiyya, they believe that vocal dhikr and abstience against the oppulence and rituals endemic to their brethren.;;;;;;;;;;;;;x

gedimu;Gedimu;;;;;;;;;;;;;x
gedimu_desc;The oldest of the schools of Islam in the Middle Kingdom. The Gedimu prides themselves for maintaining the Chinese scholastic tradition known as Jingtang Jiaoyu where adherents of this school would instruct in sinicized arabic the Thirteen Classics. Conservative yet amicable to the diverse multitude of faiths in the Middle Kingdom, scholars of this school often muse poetics with their Confucian Counterparts.;;;;;;;;;;;;;x
yihewani;Yihewani;;;;;;;;;;;;;x
yihewani_desc;Yihewani whose adherents are known as Sunnaitis is a brotherhood that rejects the Gedimu tradition of Jingtang Jiaoyu as corrupting the word of the prophet. They adhere much closer to the Hanafi school of jurisprudence while also being ambivalent on the position of saint worship in their domains believing it a way of life but exercising restraint and modesty in reverence.;;;;;;;;;;;;;x
xidaotang;Xidaotang;;;;;;;;;;;;;x
xidaotang_desc;A school founded by Ma Qixi, This school arose as a response to the sufistic Jahriyya movement and emphasizes following proper sharia and tariqa to attain greater illumination of the heavens. A hallmark of this school is their belief in the dao to achieve a mystical union with Allah.;;;;;;;;;;;;;x
