
###########FESTIVAL LOCALIZATIONS###############
hold_mahashivaratri;Reflect on Mahashivaratri;;;;;;;;;;;;;x
hold_mahashivaratri_desc;As the night descends across your realm you feel compelled to attend to "The Great Night of Shiva", a vigil of solemn reflection and dance in honor of the Lord Shiva.;;;;;;;;;;;;;x

celebrating_mahashivaratri;Celebrating Mahashivaratri;;;;;;;;;;;;;x
celebrating_mahashivaratri_desc;This character is partaking in the solemn night of Mahashivaratri;;;;;;;;;;;;;x

hold_diwali_feast;Hold Diwali Feast;Organiser le Diwali;Veranstaltet ein Diwali-Fest;;Organizar Festival Diwali;;;;;;;;;x
hold_diwali_feast_desc;Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair.;Diwali est une festivité traditionnelle des moissons en Inde. On y célèbre le triomphe de la lumière sur les ténèbres, du bien sur le mal et de l'espoir sur le désespoir.;Diwali ist das traditionelle indische Erntefest. Gefeiert wird der Triumph von Licht über Dunkelheit, Gut über Böse und Hoffnung über Verzweiflung.;;Diwali es el festival tradicional Indio de la cosecha. Celebra el triunfo de la luz sobre la oscuridad, del bien sobre el mal y de la esperanza sobre la desesperación.;;;;;;;;;x
hold_diwali_feast_jain;Hold Diwali Feast;Organiser le Diwali;Veranstaltet ein Diwali-Fest;;Organizar Festival Diwali;;;;;;;;;x
hold_diwali_feast_jain_desc;Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair. For Jains it is also a time to remember and honor Mahavira, the twenty-fourth Tirthankara.;Diwali est une festivité traditionnelle des moissons en Inde. On y célèbre le triomphe de la lumière sur les ténèbres, du bien sur le mal et de l'espoir sur le désespoir. Pour les jaïns, c'est aussi un temps où on honore le souvenir de Mahavira, le vingt-quatrième Tirthankara.;Diwali ist das traditionelle indische Erntefest. Gefeiert wird der Triumph von Licht über Dunkelheit, Gut über Böse und Hoffnung über Verzweiflung. Jainisten erinnern und ehren außerdem Mahavira, die vierundzwanzigste Tirthankara.;;Diwali es el festival tradicional Indio de la cosecha. Celebra el triunfo de la luz sobre la oscuridad, del bien sobre el mal y de la esperanza sobre la desesperación.;;;;;;;;;x
hold_diwali_feast_kali_puja;Hold Kali Puja Feast;Organiser le Kali Puja;Veranstaltet ein Kali Puja-Fest;;Organizar Festival Kali Puja;;;;;;;;;x
hold_diwali_feast_kali_puja_desc;While most of India celebrates Diwali in autumn, the Kali Puja festival is celebrated in the goddess Kali's name by Hindus in parts of northeastern India, and anywhere by those who hold a special love for the goddess of Death, Time and Change.  Rituals in Kali's honor often involve things such as blood and skulls.;Alors que presque partout en Inde on célèbre le Diwali en automne, la fête de Kali Puja est célébrée au nom de la déesse Kali par les hindouistes vivant dans le nord-est de l'Inde, ainsi que partout ailleurs par ceux qui vouent une affection particulière à la déesse de la mort, du temps et du changement.  Les rituels en l'honneur de Kali impliquent souvent l'utilisation de sang et de crânes.;Obwohl die meisten Inder im Herbst Diwali zelebrieren, wird das Kali Puja-Fest im Namen der Göttin Kali von Hinduisten im nordöstlichen Indien gefeiert und von allen, die die Herrin von Tod, Zeit und Veränderung lieben. Rituale zu Ehren Kalis umfassen oft Blut und Schädel.;;Mientras la mayor parte de la india celebra el Diwali en otoño, el Kali Puja se celebra en honor a la diosa Kali por hindúes en partes de la india nororiental, y en cualquier parte donde profesen amor por la diosa de la muerte, el tiempo y el cambio. En los rituales en honor de Kali a menudo hay sangre y calaveras.;;;;;;;;;x

hold_navaratri;Celebrate Navaratri;;;;;;;;;;;;;x
hold_navaratri_desc;Every Hindu celebrate the nine nights for each of the nine Mahadevi of Hinduism, with the penultimate night being dedicated in celebration of Durga in her many forms across the Subcontinent.;;;;;;;;;;;;;x

##########VALLEKHANA LOCALIZATION###########

EVT_TITLE_HINDU_2;The Last Vow;;;;;;;;;;;;;x
EVTDESC_HINDU_2;You have finally decided to take a final vow.  As Lord Shiva deserves your full devotion, it is now time for you to progressively abandon any food or beverage and fast till death comes at you. Hereby, you shall slander your passions, subjugate them and let your body achieve inner peace.;;;;;;;;;;;;;x
EVTOPTA_HINDU_2;Praise Shiva!;;;;;;;;;;;;;x
EVTOPTB_HINDU_2;I am not ready for this.;;;;;;;;;;;;;x

EVTDESC_HINDU_3;You have fasted for a few days now, only allowing yourself milk and whey. Your vow is only beginning, and it is time for you to bury yourself even deeper into meditation.;;;;;;;;;;;;;x
EVTOPTA_HINDU_3;I await for my liberation.;;;;;;;;;;;;;x

EVTDESC_HINDU_4;Your fast is now has now lasted a few weeks, and you have switched from milk and whey to spiced water. While you have started feeling dizzy for few hours now, you feel extraordinally relieved.;;;;;;;;;;;;;x
EVTOPTA_HINDU_4;Purging my passions is the only way of accessing to Nirvana.;;;;;;;;;;;;;x

EVTDESC_HINDU_5;You now have abandoned spiced water, the final phase of your fasting is beginning. You're starting to feel rather weak, but your mind is sharper than ever.;;;;;;;;;;;;;x
EVTOPTA_HINDU_5;My mind and body is ready.;;;;;;;;;;;;;x

EVTDESC_HINDU_6;Your fasting is coming to an end. You can feel it. Strength has abandoned your body, only death awaits you now.;;;;;;;;;;;;;x
EVTOPTA_HINDU_6;Nirvana is close!;;;;;;;;;;;;;x

EVTDESC_HINDU_7;Your fasting is coming to end. You can feel it. Strength has abandoned your body, only death awaits you now. However, while your eyes are starting to close themselves, you witness a vague shape of light speaking to you : "It is soon over, you haven taken your vow honourably.".;;;;;;;;;;;;;x
EVTOPTA_HINDU_7;Shiva, is this you..?;;;;;;;;;;;;;x

EVTDESC_HINDU_8;You cannot feel your body anymore, as if you were levitating. Substance has left your body. You haven taken your vow.;;;;;;;;;;;;;x
EVTOPTA_HINDU_8;Nirvana awaits me!;;;;;;;;;;;;;x

##########MAHASHIVARATRI LOCALIZATION###########
EVT_TITLE_HINDU_20;As Night Falls...;;;;;;;;;;;;;x
EVTDESC_HINDU_20;You and an entourage of your fellow faithful thronged across the lantern lit streets, a light mumuring as folks stand before the temple grounds, having trekked roughly 14-kilometers barefoot to the temple. The pujari welcomes the crowd with a word words of comfort. You glance at the imposing dvarapala guarding the temple door emblazened by the image of Kankalamurti, an image of Bhairava, an aspect of Lord Shiva, as you make your way inside. The temple grounds are brightly lit with cauldrons bellowing before the dusk sun fades from view as the plaza is filled with devoutees from across your realm. A Kathavachak presents himself to the crowd clearing his throat preparing to recite the ancient mantras and stories of Lord Shiva Overcoming Darkness and Ignorance.;;;;;;;;;;;;;x
EVTOPTA_HINDU_20;Praise Lord Shiva!;;;;;;;;;;;;;x
EVTOPTB_HINDU_20;Let the Festivities Start!;;;;;;;;;;;;;x

EVT_TITLE_HINDU_21;Meditations of Lord Shiva;;;;;;;;;;;;;x
EVTDESC_HINDU_21;Many stories are told regarding the nature of the night for which you have all gathered to praise Lord Shiva. The Kathavachak tells how Lord Shiva in his anger and grief on this day dance the holy dance of creation, preservation and destruction to overcome the darkness and ignorance of the previous order. Through this divine act he quelled his great anger and grief and this is in part why we devote ourselves to live in Lord Shiva's Auspicious Grace.\nOn the conclusion of the story, the crowd begins a chant which resonates across the temple grounds. You join in this great act of devotion...;;;;;;;;;;;;;x
EVTOPTA_HINDU_21;Om Namah Shivaya!;;;;;;;;;;;;;x

EVT_TITLE_HINDU_22;The Light-Filled Streets;;;;;;;;;;;;;x
EVTDESC_HINDU_22;As the crowds begin to make their way out the temple washing themselves before a linga which is said to wash away the sins so that one could walk a more virtuous life. You follow the crowd who began to populate the streets with an array of festive celebrations in honor of Lord Shiva. As you reach the last fork of the road the sounds of soft music accompany by dance beckons from a local market center, you contemplate whether you shall retire to meditation or enjoy a night out in the city...;;;;;;;;;;;;;x
EVTOPTA_HINDU_22;Perhaps a night out is what I need...;;;;;;;;;;;;;x
EVTOPTB_HINDU_22;Perhaps I should meditate on this auspicious night...;;;;;;;;;;;;;x

EVT_TITLE_HINDU_23;A Devotional Dance;;;;;;;;;;;;;x
EVTDESC_HINDU_23;You enter the market where an array of merchants and performers have set up a fair where many of the cities inhabitants can be seen partaking in the festive mood. You are caught by a group of dancers who are attempting to uphold the many mudras of the Natyasastra in an act of worship through composition of dance. As the music fills the air you can't help but join in the dancing. You become exhausted as you make your way back to the palace contemplating on the events of tonight.;;;;;;;;;;;;;x
EVTOPTA_HINDU_23;I shall meditate on Lord Shiva's Grace;;;;;;;;;;;;;x

EVT_TITLE_HINDU_24;A Silent Meditation;;;;;;;;;;;;;x
EVTDESC_HINDU_24;You prepare a mat in your room as you contemplate Lord Shiva's grace and your devotion to to him. You think about how Lord Shiva is the essence of Creation, the Protector of Life, and also its eventual destroyer. You think of how Lord Shiva overcame Darkness and Ignorance by performing the cosmic dance bringing harmony to the discourse which wraught the world. You contemplate how you can set your self in the virtuous path by following their example...;;;;;;;;;;;;;x
